Id;Designator;Package;Quantity;Designation;Supplier and ref
1;U3;QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.1mm;1;TMC2130-TA;
2;R3;R_0201_0603Metric;1;2R2;RTT012R2JTH
3;U1;ESP32-WROOM-32;1;ESP32-WROOM-32D;
4;R1;R_0402_1005Metric;1;R2k;
5;R6;R_0402_1005Metric;1;R10k;
6;R5,R4;R_0805_2012Metric;2;0R11;
7;R2;R_0201_0603Metric;1;R6k8;WR02X682JAL
8;J1;PinHeader_1x04_P2.54mm_Horizontal;1;Conn_01x04_Male;
9;C11;C_0805_2012Metric;1;C0u150V;
10;C10;C_1206_3216Metric;1;C22uF10V;
11;C9;C_0603_1608Metric;1;C0u150V;
12;C8,C7,C4;C_0603_1608Metric;3;C100nF;
13;C6;C_0402_1005Metric;1;C2u2;
14;C5;C_0402_1005Metric;1;C470nF;
15;C3;C_0603_1608Metric;1;C22nF50V;
16;C2,C1;C_0603_1608Metric;2;C22uF10V;
17;U2;SOT-223-3_TabPin2;1;AMS1117-3.3;
18;D1;LED_0201_0603Metric;1;LED;
